ph,tds_ppm,turbidity_ntu,temperature_c,dry_days_before_rain,rainwater_quality_score,water_class,recommended_action
5.77,435.8,87.04,23.9,36,21.2,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.24,17.1,4.29,23.2,1,83.6,Excellent_Store,Best for storage; disinfect before drinking use
5.84,507.6,85.29,26.1,42,24.8,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.34,82.3,2.67,25.7,5,84.1,Excellent_Store,Best for storage; disinfect before drinking use
6.1,394.1,55.31,29.8,13,32.9,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.22,168.5,38.06,26.6,21,45.2,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.77,103.0,25.76,27.7,12,46.4,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.64,315.0,91.62,27.5,41,25.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.19,111.2,1.41,30.5,3,82.9,Excellent_Store,Best for storage; disinfect before drinking use
6.66,97.3,0.55,26.3,6,91.1,Excellent_Store,Best for storage; disinfect before drinking use
6.4,60.2,0.03,29.8,3,93.4,Excellent_Store,Best for storage; disinfect before drinking use
6.08,50.5,0.03,27.9,0,90.4,Excellent_Store,Best for storage; disinfect before drinking use
6.55,15.1,10.73,26.8,8,75.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.97,364.7,60.0,28.4,14,30.9,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.86,352.1,52.83,30.0,20,28.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.42,50.4,0.03,23.3,3,94.8,Excellent_Store,Best for storage; disinfect before drinking use
6.87,199.7,43.47,25.0,14,50.0,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.29,68.9,0.03,27.8,6,90.5,Excellent_Store,Best for storage; disinfect before drinking use
5.78,456.4,64.11,25.7,25,23.4,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.83,296.0,32.53,24.8,19,29.5,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.3,14.6,0.03,24.5,4,94.6,Excellent_Store,Best for storage; disinfect before drinking use
5.72,48.4,19.76,28.9,23,49.0,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.98,159.5,17.92,24.2,5,51.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.68,379.0,94.39,28.7,27,24.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.89,374.8,42.9,29.2,32,27.2,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.07,103.6,5.26,32.2,3,70.5,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.09,73.2,0.03,27.1,6,86.4,Excellent_Store,Best for storage; disinfect before drinking use
6.18,144.9,33.23,26.5,19,46.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.94,92.1,0.2,23.9,4,83.6,Excellent_Store,Best for storage; disinfect before drinking use
5.9,350.4,56.88,25.9,15,32.2,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.68,454.4,95.0,25.8,38,20.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.39,45.9,3.3,24.0,4,83.3,Excellent_Store,Best for storage; disinfect before drinking use
6.34,24.6,0.79,25.7,3,93.1,Excellent_Store,Best for storage; disinfect before drinking use
5.38,114.6,2.69,24.7,5,66.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.66,448.8,93.25,26.1,37,22.1,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.02,26.1,13.21,28.1,4,66.9,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.58,406.8,84.32,22.7,25,20.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.73,363.5,72.25,26.2,32,25.3,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.04,218.0,33.65,32.1,34,35.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.31,5.0,4.48,25.9,0,85.4,Excellent_Store,Best for storage; disinfect before drinking use
6.24,187.3,19.68,28.8,23,46.2,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.79,300.0,65.99,26.0,24,32.2,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.61,485.5,95.0,24.3,41,18.2,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.12,66.9,8.73,25.1,4,70.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.19,390.9,57.55,28.4,9,35.0,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.75,398.7,88.48,21.9,39,23.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.25,74.8,8.04,32.7,9,65.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.03,47.1,3.61,23.4,13,76.6,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.14,332.2,59.6,24.9,15,35.4,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.71,529.8,95.0,26.5,30,23.3,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.99,191.9,40.27,23.7,4,45.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.53,266.7,43.99,27.3,10,31.1,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.52,33.7,1.55,23.7,0,93.8,Excellent_Store,Best for storage; disinfect before drinking use
6.16,96.7,4.54,25.1,9,71.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.92,128.2,21.77,28.9,12,47.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.84,84.1,1.63,24.1,11,78.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.07,422.9,77.77,27.6,38,17.3,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.13,174.5,12.59,30.7,24,48.7,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.23,53.2,8.62,25.6,10,69.9,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.02,169.8,1.67,30.5,9,74.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.93,295.9,77.6,26.3,31,32.3,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.9,410.6,67.18,24.2,10,30.0,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.27,29.1,2.99,24.5,1,90.3,Excellent_Store,Best for storage; disinfect before drinking use
6.14,219.0,19.68,27.2,11,47.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.77,407.1,95.0,30.8,23,24.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.28,132.6,8.6,26.5,1,67.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.52,441.8,95.0,22.5,44,18.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.04,56.7,8.98,29.0,7,66.6,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.17,59.7,0.03,27.6,1,91.1,Excellent_Store,Best for storage; disinfect before drinking use
6.03,127.3,9.86,21.8,24,54.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.29,142.9,28.13,26.2,20,49.4,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.1,54.0,0.03,26.1,1,90.5,Excellent_Store,Best for storage; disinfect before drinking use
6.22,30.3,0.03,28.8,5,91.7,Excellent_Store,Best for storage; disinfect before drinking use
5.71,444.1,78.8,32.3,13,23.5,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.18,67.6,17.76,27.2,3,59.8,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.37,178.2,1.61,26.4,13,78.9,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.87,264.1,42.27,29.6,8,37.3,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.86,18.4,6.57,27.7,4,70.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.32,183.7,28.68,28.5,8,49.7,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.15,104.8,0.85,27.0,7,83.6,Excellent_Store,Best for storage; disinfect before drinking use
6.13,434.9,47.26,29.3,15,35.1,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.16,101.8,1.32,23.9,5,82.9,Excellent_Store,Best for storage; disinfect before drinking use
6.26,282.7,30.85,30.1,20,40.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.66,612.4,95.0,26.8,43,17.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.89,111.2,45.32,28.3,2,48.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.26,155.3,4.78,23.5,6,69.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.27,164.3,25.66,31.7,12,48.7,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.46,141.1,9.27,28.9,4,66.6,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.0,316.3,61.08,25.9,19,31.9,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.11,80.1,48.68,22.2,2,54.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.14,154.0,24.88,25.9,18,45.8,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.37,284.8,44.05,21.9,18,26.0,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.78,528.1,95.0,26.8,32,24.1,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.76,544.8,92.72,30.5,37,22.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.08,179.3,24.54,27.0,8,47.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.16,162.2,0.03,30.1,3,81.9,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.82,435.6,95.0,30.6,43,23.1,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.23,5.0,3.08,28.6,5,84.8,Excellent_Store,Best for storage; disinfect before drinking use
6.2,111.9,16.41,21.0,15,54.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.94,325.8,75.1,31.0,14,31.1,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.83,493.2,59.25,22.2,25,23.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.41,10.5,2.65,28.7,2,90.7,Excellent_Store,Best for storage; disinfect before drinking use
5.8,566.4,80.19,29.8,35,19.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.71,104.2,4.95,25.1,13,65.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.76,502.9,57.34,26.2,38,24.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.14,57.6,0.03,28.3,4,87.8,Excellent_Store,Best for storage; disinfect before drinking use
6.28,5.0,0.03,25.7,6,92.8,Excellent_Store,Best for storage; disinfect before drinking use
6.27,18.0,0.6,26.1,5,91.9,Excellent_Store,Best for storage; disinfect before drinking use
5.9,410.9,62.47,29.4,10,29.3,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.58,368.8,95.0,25.3,22,23.8,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.72,429.9,84.59,28.0,43,24.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.69,290.9,16.44,26.1,4,51.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.97,111.8,37.33,29.0,5,49.7,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.16,78.5,2.21,30.7,1,83.6,Excellent_Store,Best for storage; disinfect before drinking use
6.44,242.1,11.29,26.4,8,54.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.24,147.7,4.06,30.5,11,69.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.58,483.1,67.2,35.4,24,17.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.02,31.9,1.33,27.7,3,90.9,Excellent_Store,Best for storage; disinfect before drinking use
6.04,229.4,20.32,28.5,2,47.2,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.71,451.2,85.44,23.9,17,22.8,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.11,92.5,3.58,23.5,12,74.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.04,30.3,9.29,28.9,1,69.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.71,451.6,86.24,22.5,40,20.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.29,187.1,16.89,27.6,24,50.2,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.02,204.8,19.84,24.8,11,47.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.65,161.5,11.39,27.6,4,46.0,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.23,49.8,2.3,27.6,6,85.9,Excellent_Store,Best for storage; disinfect before drinking use
5.98,185.1,2.92,33.2,11,66.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.85,111.7,21.58,27.6,22,46.0,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.28,71.1,6.3,24.0,9,73.9,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.16,71.4,8.21,24.5,4,70.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.08,252.0,50.45,26.7,16,39.7,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.34,104.7,0.03,23.6,2,90.3,Excellent_Store,Best for storage; disinfect before drinking use
6.39,73.0,2.51,28.0,5,84.4,Excellent_Store,Best for storage; disinfect before drinking use
6.27,153.9,1.37,26.5,0,85.7,Excellent_Store,Best for storage; disinfect before drinking use
5.53,411.3,95.0,34.6,43,14.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.32,19.6,0.03,26.4,5,95.8,Excellent_Store,Best for storage; disinfect before drinking use
5.84,444.4,68.97,35.3,32,21.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.35,41.8,0.03,24.3,5,92.4,Excellent_Store,Best for storage; disinfect before drinking use
5.81,471.6,95.0,34.0,44,20.5,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.72,163.9,11.36,29.2,3,46.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.92,539.8,95.0,24.6,38,23.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.99,353.9,88.51,29.8,24,30.5,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.98,184.0,25.25,27.3,16,43.4,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.47,152.1,6.51,31.2,0,70.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.22,87.7,1.71,23.9,3,82.5,Excellent_Store,Best for storage; disinfect before drinking use
5.72,312.4,81.43,20.8,15,23.5,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.04,60.4,10.7,31.2,0,66.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.65,437.8,95.0,29.0,39,22.1,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.79,389.4,79.26,22.8,27,24.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.01,71.7,2.58,28.1,5,80.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.43,69.4,1.36,28.0,5,87.4,Excellent_Store,Best for storage; disinfect before drinking use
5.67,24.4,4.96,23.5,12,69.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.26,90.1,1.91,28.5,0,86.5,Excellent_Store,Best for storage; disinfect before drinking use
5.91,546.0,95.0,25.9,34,24.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.19,417.6,34.32,27.6,22,35.4,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.45,93.1,0.65,30.0,1,89.7,Excellent_Store,Best for storage; disinfect before drinking use
6.06,205.9,16.11,26.3,15,48.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.01,30.3,3.39,31.3,10,79.9,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.29,26.9,12.57,26.7,10,67.5,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.49,148.9,0.03,30.4,7,85.5,Excellent_Store,Best for storage; disinfect before drinking use
6.13,216.4,5.3,28.7,0,67.7,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.95,408.6,67.67,20.5,10,28.1,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.23,231.6,50.5,24.7,31,36.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.29,108.7,1.66,28.1,1,89.3,Excellent_Store,Best for storage; disinfect before drinking use
5.65,376.7,95.0,23.5,29,23.5,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.29,89.5,2.6,28.7,8,81.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.07,262.7,32.47,26.0,17,37.4,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.11,88.3,1.04,27.2,2,84.8,Excellent_Store,Best for storage; disinfect before drinking use
6.19,5.0,4.05,28.5,12,80.6,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.11,37.2,3.27,27.7,0,84.2,Excellent_Store,Best for storage; disinfect before drinking use
6.06,59.6,1.22,30.8,6,85.8,Excellent_Store,Best for storage; disinfect before drinking use
6.28,105.7,0.03,29.2,5,87.4,Excellent_Store,Best for storage; disinfect before drinking use
6.2,165.7,13.27,24.3,5,52.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.99,145.7,8.05,31.7,13,55.8,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.92,92.3,0.03,25.6,1,82.7,Excellent_Store,Best for storage; disinfect before drinking use
5.69,373.6,95.0,27.1,41,20.8,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.33,364.3,63.08,30.7,15,35.8,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.58,284.3,89.28,32.6,33,24.4,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.27,118.4,15.98,27.9,5,59.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.42,107.0,27.51,31.2,24,49.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.83,253.1,60.38,21.8,22,30.8,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.21,102.3,5.03,28.2,6,73.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.84,538.7,87.67,26.8,32,23.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.28,8.1,0.03,28.9,1,95.2,Excellent_Store,Best for storage; disinfect before drinking use
5.93,5.0,0.63,29.1,2,88.6,Excellent_Store,Best for storage; disinfect before drinking use
6.32,41.1,0.03,34.3,6,91.9,Excellent_Store,Best for storage; disinfect before drinking use
6.25,83.9,0.03,28.9,4,88.7,Excellent_Store,Best for storage; disinfect before drinking use
6.12,83.8,1.4,26.3,0,86.1,Excellent_Store,Best for storage; disinfect before drinking use
6.24,326.9,45.01,29.0,10,38.5,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.21,88.6,0.03,23.3,1,88.8,Excellent_Store,Best for storage; disinfect before drinking use
5.7,592.4,95.0,23.9,45,18.5,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.87,401.8,78.56,29.7,35,29.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.28,5.0,3.2,26.7,7,84.7,Excellent_Store,Best for storage; disinfect before drinking use
6.15,60.9,6.44,35.3,11,66.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.35,64.0,2.33,25.0,2,88.0,Excellent_Store,Best for storage; disinfect before drinking use
6.16,5.0,26.7,27.4,7,58.8,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.1,178.9,4.29,28.0,6,68.7,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.58,400.3,77.56,27.0,33,22.2,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.77,177.2,39.22,26.2,16,49.0,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.8,201.8,35.35,28.7,8,41.1,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.01,212.6,62.93,30.4,13,35.9,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.95,99.8,0.03,29.8,6,83.8,Excellent_Store,Best for storage; disinfect before drinking use
6.22,67.7,0.03,19.3,3,87.9,Excellent_Store,Best for storage; disinfect before drinking use
5.89,315.5,77.33,28.9,27,31.3,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.12,339.8,80.8,27.1,34,30.0,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.21,149.6,38.88,27.4,17,47.2,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.72,437.4,92.47,28.5,33,22.5,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.77,207.1,9.94,27.2,18,45.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.4,441.6,95.0,30.2,28,18.3,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.62,530.6,95.0,28.7,25,21.4,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.66,50.2,3.25,22.5,8,71.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.49,34.7,3.07,28.5,4,86.8,Excellent_Store,Best for storage; disinfect before drinking use
6.31,108.8,4.67,23.3,0,76.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.63,370.0,62.9,28.7,36,23.3,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.26,52.8,2.58,27.5,7,83.5,Excellent_Store,Best for storage; disinfect before drinking use
5.89,54.8,8.37,25.4,11,65.6,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.9,571.9,74.73,24.5,45,23.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.11,5.0,0.03,25.1,4,92.9,Excellent_Store,Best for storage; disinfect before drinking use
6.3,131.3,7.79,30.1,2,65.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.05,171.8,16.09,22.4,2,50.7,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.26,142.4,20.46,28.7,3,55.7,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.82,402.0,58.04,25.4,7,29.9,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.03,5.0,5.71,25.7,12,72.6,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.95,494.8,90.62,28.5,34,24.1,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.95,283.1,43.41,34.8,10,32.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.06,148.7,46.22,26.9,4,47.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.34,230.8,28.53,26.9,14,45.4,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.56,510.5,95.0,28.2,31,22.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.75,61.9,0.03,29.6,1,96.4,Excellent_Store,Best for storage; disinfect before drinking use
6.3,166.1,26.75,29.1,13,50.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.14,118.0,16.65,26.9,23,53.8,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.28,24.0,2.07,20.8,1,89.1,Excellent_Store,Best for storage; disinfect before drinking use
5.72,394.1,81.85,27.0,25,24.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.31,84.7,3.53,27.2,8,81.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.72,341.7,79.99,25.3,28,28.4,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.95,9.1,1.8,26.4,7,84.1,Excellent_Store,Best for storage; disinfect before drinking use
6.29,109.8,2.02,27.8,6,84.6,Excellent_Store,Best for storage; disinfect before drinking use
5.82,462.2,75.13,31.4,24,24.4,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.81,605.8,95.0,32.1,28,19.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.03,311.9,57.84,28.7,24,31.0,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.16,173.4,13.76,28.1,10,53.4,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.13,211.6,13.35,22.0,2,50.4,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.69,238.8,68.82,26.6,28,30.9,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.04,85.1,27.69,26.6,4,54.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.74,401.8,71.8,31.1,38,23.8,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.85,259.4,60.75,27.2,24,32.7,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.76,485.2,95.0,31.5,42,23.1,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.22,129.6,3.28,34.5,4,73.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.29,103.9,0.03,24.5,6,87.5,Excellent_Store,Best for storage; disinfect before drinking use
5.96,162.9,2.2,27.1,9,73.7,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.64,67.4,19.66,26.5,4,66.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.04,54.8,9.0,25.4,5,70.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.15,436.2,95.0,37.7,41,14.3,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.05,459.9,45.3,30.3,14,31.2,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.08,415.7,60.76,23.6,26,29.5,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.28,11.4,0.03,24.6,4,92.8,Excellent_Store,Best for storage; disinfect before drinking use
6.07,25.5,0.03,31.8,2,90.3,Excellent_Store,Best for storage; disinfect before drinking use
6.13,283.0,46.34,26.8,12,39.7,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.89,91.8,22.46,26.4,6,53.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.86,54.8,32.36,36.4,2,50.4,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.19,291.4,29.83,25.0,35,34.5,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.08,570.3,95.0,29.3,18,14.8,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.14,324.1,63.89,34.5,19,33.7,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.95,127.7,16.33,27.0,18,50.8,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.17,270.8,84.46,29.4,32,35.9,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.41,193.3,19.34,29.4,19,51.4,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.34,44.5,0.03,29.1,0,96.5,Excellent_Store,Best for storage; disinfect before drinking use
6.04,104.8,5.24,24.1,2,70.6,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.47,135.5,28.49,24.1,2,57.2,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.95,28.8,6.18,24.1,1,72.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.14,93.1,2.98,26.1,1,84.2,Excellent_Store,Best for storage; disinfect before drinking use
6.34,13.9,0.03,28.6,5,93.9,Excellent_Store,Best for storage; disinfect before drinking use
5.99,556.6,95.0,30.2,24,24.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.1,99.8,24.57,25.1,9,55.2,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.07,130.6,21.68,21.6,19,48.0,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.15,110.0,6.9,24.4,14,65.6,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
